id,group_id,visitor_id
1,5,8df6c5f3-c111-4f75-a829-5bffe48d4404
2,9,1107b137-642d-4c4b-96d6-5a8bc37415db
3,14,5b2bbcf2-a36f-404d-b533-ba0bf36536cf
4,11,8df6c5f3-c111-4f75-a829-5bffe48d4404
5,6,ea4ff34c-5131-448e-b82e-0e047f100f01
6,17,78e5e835-37b4-46e6-b9ef-3d14a3ab45e0
7,4,84274471-6aad-443d-86f8-4ff388603ee8
8,8,d300f4ba-3557-4ff9-aea3-bc86b04606a7
9,1,7fd00bb1-c88c-4985-8135-42b7f62c115e
10,11,2316ada6-394d-4f1b-86df-e73d2b4e662a
11,5,0885a69b-cb60-4252-bb76-2af0b857aed7
12,19,5b2bbcf2-a36f-404d-b533-ba0bf36536cf
13,7,060aef7f-b287-40ed-866b-ee4ffd932a93
14,8,e3cb5674-bb43-40ca-99bc-059cab250049
15,2,26d48c22-b78e-42ca-a681-e96402e173b2
16,18,f6c4d803-826f-48b2-b6ac-84bb2110ac10
17,11,40233460-a8f3-4582-b31c-919568819b1c
18,4,40233460-a8f3-4582-b31c-919568819b1c
19,9,d300f4ba-3557-4ff9-aea3-bc86b04606a7
20,7,0f09ecf5-7ca5-4573-a525-85bea269e6b3
21,12,16863102-93cb-4a93-aabf-23473108160d
22,13,3014a5cf-1edb-442e-8981-61759890ccc0
23,3,c99fdcef-fb1a-4f0b-8bde-02f34ac06336
24,16,c99fdcef-fb1a-4f0b-8bde-02f34ac06336
25,11,fbad1dbf-4d79-4a49-b96c-0f4dc8577bae
26,2,65d8c33b-c843-4848-b920-9707a048fdb4
27,6,35b0c25c-b181-4fdc-a341-34b3c783a2ef
28,10,0885a69b-cb60-4252-bb76-2af0b857aed7
29,16,a88bf902-d5f6-4996-aaf7-b5d154450ee4
30,2,e3cb5674-bb43-40ca-99bc-059cab250049
31,3,678ef751-5512-4f1f-89e6-cf850111393f
32,11,78e5e835-37b4-46e6-b9ef-3d14a3ab45e0
33,3,47e57df4-fabf-48e8-af5a-a777ad879247
34,6,9ef264c4-f1ca-48ff-b8e3-d64d13bed617
35,17,0c759cf8-9bbd-4467-9665-6030d52817e3
36,4,be5e40e2-8e84-4316-a128-83d57dc86916
37,8,9ef264c4-f1ca-48ff-b8e3-d64d13bed617
38,15,1107b137-642d-4c4b-96d6-5a8bc37415db
39,13,40233460-a8f3-4582-b31c-919568819b1c
40,13,9ef264c4-f1ca-48ff-b8e3-d64d13bed617
41,17,be5e40e2-8e84-4316-a128-83d57dc86916
42,1,3f532e0d-3639-421b-b5c8-c25d5f103c37
43,16,c99fdcef-fb1a-4f0b-8bde-02f34ac06336
44,15,678ef751-5512-4f1f-89e6-cf850111393f
45,20,5f747790-172a-4676-9c3f-571b024fe66d
46,2,b6143422-35d1-40c2-bd77-b08ed5847bf3
47,13,c99fdcef-fb1a-4f0b-8bde-02f34ac06336
48,18,1107b137-642d-4c4b-96d6-5a8bc37415db
49,16,35b0c25c-b181-4fdc-a341-34b3c783a2ef
50,8,a330d406-ba93-4082-8502-008895fbb6b0
